Name,Description,Letter,Tier,Effect1,Level1,Effect2,Level2,Effect3,Level3,Effect4,Level4,Effect5,Level5,RestrictedMovement,RestrictedWeapons,ExclusiveUser1,ExclusiveUser2,ExclusiveUser3
HP +3,Grants +3 to max HP.,A,1,HPBoost,3,,,,,,,,,Any,Any,,,
HP +4,Grants +4 to max HP.,A,2,HPBoost,4,,,,,,,,,Any,Any,,,
HP +5,Grants +5 to max HP.,A,3,HPBoost,5,,,,,,,,,Any,Any,,,
Attack +1,Grants Atk +1.,A,1,atkBoost,1,,,,,,,,,Any,Any,,,
Attack +2,Grants Atk +2.,A,2,atkBoost,2,,,,,,,,,Any,Any,,,
Attack +3,Grants Atk +3.,A,3,atkBoost,3,,,,,,,,,Any,Any,,,
Speed +1,Grants Spd +1.,A,1,spdBoost,1,,,,,,,,,Any,Any,,,
Speed +2,Grants Spd +2.,A,2,spdBoost,2,,,,,,,,,Any,Any,,,
Speed +3,Grants Spd +3.,A,3,spdBoost,3,,,,,,,,,Any,Any,,,
Defense +1,Grants Def + 1.,A,1,defBoost,1,,,,,,,,,Any,Any,,,
Defense +2,Grants Def + 2.,A,2,defBoost,2,,,,,,,,,Any,Any,,,
Defense +3,Grants Def + 3.,A,3,defBoost,3,,,,,,,,,Any,Any,,,
Resistance +1,Grants Res +1.,A,1,resBoost,1,,,,,,,,,Any,Any,,,
Resistance +2,Grants Res +2.,A,2,resBoost,2,,,,,,,,,Any,Any,,,
Resistance +3,Grants Res +3.,A,3,resBoost,3,,,,,,,,,Any,Any,,,
Fury 1,"Grants Atk/Spd/Def/Res+1. After combat, deals 2 damage to unit.",A,1,spectrumBoost,1,selfDmg,2,,,,,,,Any,Staff,,,
Fury 2,"Grants Atk/Spd/Def/Res+2. After combat, deals 4 damage to unit.",A,2,spectrumBoost,2,selfDmg,4,,,,,,,Any,Staff,,,
Fury 3,"Grants Atk/Spd/Def/Res+3. After combat, deals 6 damage to unit.",A,3,spectrumBoost,3,selfDmg,6,,,,,,,Any,Staff,,,
Life and Death 1,Grants Atk/Spd+3. Inflicts Def/Res-3.,A,1,atkBoost,3,spdBoost,3,defBoost,-3,resBoost,-3,,,Any,Staff,,,
Life and Death 2,Grants Atk/Spd+4. Inflicts Def/Res-4.,A,2,atkBoost,4,spdBoost,4,defBoost,-4,resBoost,-4,,,Any,Staff,,,
Life and Death 3,Grants Atk/Spd+5. Inflicts Def/Res-5.,A,3,atkBoost,5,spdBoost,5,defBoost,-5,resBoost,-5,,,Any,Staff,,,
Death Blow 1,"If unit initiates combat, grants Atk+2 during combat.",A,1,atkBlow,1,,,,,,,,,Any,Staff,,,
Death Blow 2,"If unit initiates combat, grants Atk+4 during combat.",A,2,atkBlow,2,,,,,,,,,Any,Staff,,,
Death Blow 3,"If unit initiates combat, grants Atk+6 during combat.",A,3,atkBlow,3,,,,,,,,,Any,Staff,,,
Darting Blow 1,"If unit initiates combat, grants Spd+2 during combat.",A,1,spdBlow,1,,,,,,,,,Any,Staff,,,
Darting Blow 2,"If unit initiates combat, grants Spd+4 during combat.",A,2,spdBlow,2,,,,,,,,,Any,Staff,,,
Darting Blow 3,"If unit initiates combat, grants Spd+6 during combat.",A,3,spdBlow,3,,,,,,,,,Any,Staff,,,
Armored Blow 1,"If unit initiates combat, grants Def+2 during combat.",A,1,defBlow,1,,,,,,,,,Any,Staff,,,
Armored Blow 2,"If unit initiates combat, grants Def+4 during combat.",A,2,defBlow,2,,,,,,,,,Any,Staff,,,
Armored Blow 3,"If unit initiates combat, grants Def+6 during combat.",A,3,defBlow,3,,,,,,,,,Any,Staff,,,
Warding Blow 1,"If unit initiates combat, grants Res+2 during combat.",A,1,resBlow,1,,,,,,,,,Any,Staff,,,
Warding Blow 2,"If unit initiates combat, grants Res+4 during combat.",A,2,resBlow,2,,,,,,,,,Any,Staff,,,
Warding Blow 3,"If unit initiates combat, grants Res+6 during combat.",A,3,resBlow,3,,,,,,,,,Any,Staff,,,
Defiant Atk 1,Grants Atk+3 at start of turn if unit’s HP ≤ 50%,A,1,defiantAtk,1,,,,,,,,,Any,Any,,,
Defiant Atk 2,Grants Atk+5 at start of turn if unit’s HP ≤ 50%,A,2,defiantAtk,2,,,,,,,,,Any,Any,,,
Defiant Atk 3,Grants Atk+7 at start of turn if unit’s HP ≤ 50%,A,3,defiantAtk,3,,,,,,,,,Any,Any,,,
Defiant Spd 1,Grants Spd+3 at start of turn if unit’s HP ≤ 50%,A,1,defiantSpd,1,,,,,,,,,Any,Any,,,
