IntName,Name,Epithet,HP,Atk,Spd,Def,Res,Movement,Weapon Type,Game,Secondary Game,HP Grow,Atk Grow,Spd Grow,Def Grow,Res Grow,DFlowerLimit,BVID,HeroType,HasResp,RefreshType
Abel,Abel,The Panther,39,33,32,25,25,1,Lance,1,-1,50,60,55,40,45,25,198,HERO,FALSE,0
Aelfric,Aelfric,Custodian Monk,43,40,31,20,37,0,RTome,16,-1,55,70,55,35,65,15,23,HERO,FALSE,0
Alcryst,Alcryst,Tender Archer,39,43,46,30,24,0,CBow,17,-1,50,70,75,60,45,10,106,REARM,FALSE,0
BR!Alcryst,Alcryst,Tender Groom,40,44,46,35,23,0,RBow,17,-1,50,75,90,55,40,5,-1,HERO,FALSE,0
F!Alear,Alear,Dragon Child,40,43,46,32,26,0,Sword,17,-1,50,70,70,65,50,10,137,HERO,FALSE,0
L!F!Alear,Alear,Awoken Divinity,40,41,47,33,37,0,GDragon,17,-1,55,70,80,65,75,5,101,LEGEND,FALSE,0
M!Alear,Alear,Dragon Youth,40,44,45,33,25,0,Sword,17,-1,50,70,70,65,50,10,77,HERO,FALSE,0
L!M!Alear,Alear,Engaging Fire,40,41,46,30,41,0,CDragon,17,-1,55,70,80,60,80,5,41,LEGEND,FALSE,0
NY!Alfonse,Alfonse,Askran Duo,41,38,17,35,30,0,BTome,0,-1,50,70,25,70,50,25,39,HERO,FALSE,0
Alfonse,Alfonse,Prince of Askr,43,35,25,32,22,0,Sword,0,-1,55,60,45,55,40,30,23,HERO,FALSE,0
SP!Alfonse,Alfonse,Spring Prince,41,35,33,30,18,1,Axe,0,-1,50,60,60,55,30,25,233,HERO,FALSE,0
V!Alfonse,Alfonse,Uplifting Love,43,38,25,37,31,3,GTome,0,-1,50,70,45,65,50,20,13,HERO,FALSE,0
Alfred,Alfred,Floral Protector,40,45,25,43,27,1,Lance,17,-1,50,70,50,75,50,10,54,REARM,FALSE,0
