Name,Description,Letter,Tier,Effect1,Level1,Effect2,Level2,Effect3,Level3,Effect4,Level4,Effect5,Level5,RestrictedMovement,RestrictedWeapons,ExclusiveUser1,ExclusiveUser2,ExclusiveUser3
HP +3,Grants +3 to max HP.,A,1,HPBoost,3,,,,,,,,,Any,Any,,,
HP +4,Grants +4 to max HP.,A,2,HPBoost,4,,,,,,,,,Any,Any,,,
HP +5,Grants +5 to max HP.,A,3,HPBoost,5,,,,,,,,,Any,Any,,,
Attack +1,Grants Atk+1.,A,1,atkBoost,1,,,,,,,,,Any,Any,,,
Attack +2,Grants Atk+2.,A,2,atkBoost,2,,,,,,,,,Any,Any,,,
Attack +3,Grants Atk+3.,A,3,atkBoost,3,,,,,,,,,Any,Any,,,
Speed +1,Grants Spd+1.,A,1,spdBoost,1,,,,,,,,,Any,Any,,,
Speed +2,Grants Spd+2.,A,2,spdBoost,2,,,,,,,,,Any,Any,,,
Speed +3,Grants Spd+3.,A,3,spdBoost,3,,,,,,,,,Any,Any,,,
Defense +1,Grants Def+1.,A,1,defBoost,1,,,,,,,,,Any,Any,,,
Defense +2,Grants Def+2.,A,2,defBoost,2,,,,,,,,,Any,Any,,,
Defense +3,Grants Def+3.,A,3,defBoost,3,,,,,,,,,Any,Any,,,
Resistance +1,Grants Res+1.,A,1,resBoost,1,,,,,,,,,Any,Any,,,
Resistance +2,Grants Res+2.,A,2,resBoost,2,,,,,,,,,Any,Any,,,
Resistance +3,Grants Res+3.,A,3,resBoost,3,,,,,,,,,Any,Any,,,
HP/Atk 1,"Grants HP+3, Atk+1.",A,2,HPBoost,3,atkBoost,1,,,,,,,Any,Any,,,
HP/Atk 2,"Grants HP+4, Atk+2.",A,3,HPBoost,4,atkBoost,2,,,,,,,Any,Any,,,
HP/Spd 1,"Grants HP+3, Spd+1.",A,2,HPBoost,3,spdBoost,1,,,,,,,Any,Any,,,
HP/Spd 2,"Grants HP+4, Spd+2.",A,3,HPBoost,4,spdBoost,2,,,,,,,Any,Any,,,
HP/Def 1,"Grants HP+3, Def+1.",A,2,HPBoost,3,defBoost,1,,,,,,,Any,Any,,,
HP/Def 2,"Grants HP+4, Def+2.",A,3,HPBoost,4,defBoost,2,,,,,,,Any,Any,,,
HP/Res 1,"Grants HP+3, Res+1.",A,2,HPBoost,3,resBoost,1,,,,,,,Any,Any,,,
HP/Res 2,"Grants HP+4, Res+2.",A,3,HPBoost,4,resBoost,2,,,,,,,Any,Any,,,
Atk/Spd 1,Grants Atk/Spd+1.,A,2,atkBoost,1,spdBoost,1,,,,,,,Any,Any,,,
Atk/Spd 2,Grants Atk/Spd+2.,A,3,atkBoost,2,spdBoost,2,,,,,,,Any,Any,,,
Attack/Def +1,Grants Atk/Def+1.,A,2,atkBoost,1,defBoost,1,,,,,,,Any,Any,,,
Attack/Def +2,Grants Atk/Def+2.,A,3,atkBoost,2,defBoost,2,,,,,,,Any,Any,,,
Attack/Res 1,Grants Atk/Res+1.,A,2,atkBoost,1,resBoost,1,,,,,,,Any,Any,,,
Attack/Res 2,Grants Atk/Res+2.,A,3,atkBoost,2,resBoost,2,,,,,,,Any,Any,,,
Spd/Def 1,Grants Spd/Def+1,A,2,spdBoost,1,defBoost,1,,,,,,,Any,Any,,,
Spd/Def 2,Grants Spd/Def+2,A,3,spdBoost,2,defBoost,2,,,,,,,Any,Any,,,
Spd/Res 1,Grants Spd/Res +1,A,2,spdBoost,1,resBoost,1,,,,,,,Any,Any,,,
Spd/Res 2,Grants Spd/Res +2,A,3,spdBoost,2,resBoost,2,,,,,,,Any,Any,,,
Def/Res 1,Grants Def/Res+1.,A,2,defBoost,1,resBoost,1,,,,,,,Any,Any,,,
Def/Res 2,Grants Def/Res+2.,A,3,defBoost,2,resBoost,2,,,,,,,Any,Any,,,
Fortress Def 1,Grants Def+3. Inflicts Atk-3.,A,1,defBoost,3,atkBoost,-3,,,,,,,Any,Any,,,
Fortress Def 2,Grants Def+4. Inflicts Atk-3.,A,2,defBoost,4,atkBoost,-3,,,,,,,Any,Any,,,
Fortress Def 3,Grants Def+5. Inflicts Atk-3.,A,3,defBoost,5,atkBoost,-3,,,,,,,Any,Any,,,
Fortress Res 1,Grants Res+3. Inflicts Atk-3.,A,1,resBoost,3,atkBoost,-3,,,,,,,Any,Any,,,
Fortress Res 2,Grants Res+4. Inflicts Atk-3.,A,2,resBoost,4,atkBoost,-3,,,,,,,Any,Any,,,
Fortress Res 3,Grants Res+5. Inflicts Atk-3.,A,3,resBoost,5,atkBoost,-3,,,,,,,Any,Any,,,
