Name,Description,Tier,Letter,Chain,Selectable,Effect1,Level1,Effect2,Level2,Effect3,Level3,Effect4,Level4,Effect5,Level5,RestrictedMovement,RestrictedWeapons
HP +3,Grants +3 to max HP.,1,A,0,TRUE,HPBoost,3,,,,,,,,,Any,Any
HP +4,Grants +4 to max HP.,2,A,0,TRUE,HPBoost,4,,,,,,,,,Any,Any
HP +5,Grants +5 to max HP.,3,A,0,TRUE,HPBoost,5,,,,,,,,,Any,Any
Attack +1,Grants Atk+1.,1,A,1,TRUE,atkBoost,1,,,,,,,,,Any,Any
Attack +2,Grants Atk+2.,2,A,1,TRUE,atkBoost,2,,,,,,,,,Any,Any
Attack +3,Grants Atk+3.,3,A,1,TRUE,atkBoost,3,,,,,,,,,Any,Any
Speed +1,Grants Spd+1.,1,A,2,TRUE,spdBoost,1,,,,,,,,,Any,Any
Speed +2,Grants Spd+2.,2,A,2,TRUE,spdBoost,2,,,,,,,,,Any,Any
Speed +3,Grants Spd+3.,3,A,2,TRUE,spdBoost,3,,,,,,,,,Any,Any
Defense +1,Grants Def+1.,1,A,3,TRUE,defBoost,1,,,,,,,,,Any,Any
Defense +2,Grants Def+2.,2,A,3,TRUE,defBoost,2,,,,,,,,,Any,Any
Defense +3,Grants Def+3.,3,A,3,TRUE,defBoost,3,,,,,,,,,Any,Any
Resistance +1,Grants Res+1.,1,A,4,TRUE,resBoost,1,,,,,,,,,Any,Any
Resistance +2,Grants Res+2.,2,A,4,TRUE,resBoost,2,,,,,,,,,Any,Any
Resistance +3,Grants Res+3.,3,A,4,TRUE,resBoost,3,,,,,,,,,Any,Any
HP/Atk 1,"Grants HP+3, Atk+1.",1,A,5,TRUE,HPBoost,3,atkBoost,1,,,,,,,Any,Any
HP/Atk 2,"Grants HP+4, Atk+2.",2,A,5,TRUE,HPBoost,4,atkBoost,2,,,,,,,Any,Any
HP/Spd 1,"Grants HP+3, Spd+1.",1,A,6,TRUE,HPBoost,3,spdBoost,1,,,,,,,Any,Any
HP/Spd 2,"Grants HP+4, Spd+2.",2,A,6,TRUE,HPBoost,4,spdBoost,2,,,,,,,Any,Any
HP/Def 1,"Grants HP+3, Def+1.",1,A,7,TRUE,HPBoost,3,defBoost,1,,,,,,,Any,Any
HP/Def 2,"Grants HP+4, Def+2.",2,A,7,TRUE,HPBoost,4,defBoost,2,,,,,,,Any,Any
HP/Res 1,"Grants HP+3, Res+1.",1,A,8,TRUE,HPBoost,3,resBoost,1,,,,,,,Any,Any
HP/Res 2,"Grants HP+4, Res+2.",2,A,8,TRUE,HPBoost,4,resBoost,2,,,,,,,Any,Any
Atk/Spd 1,Grants Atk/Spd+1.,1,A,9,TRUE,atkBoost,1,spdBoost,1,,,,,,,Any,Any
Atk/Spd 2,Grants Atk/Spd+2.,2,A,9,TRUE,atkBoost,2,spdBoost,2,,,,,,,Any,Any
Attack/Def +1,Grants Atk/Def+1.,1,A,10,TRUE,atkBoost,1,defBoost,1,,,,,,,Any,Any
Attack/Def +2,Grants Atk/Def+2.,2,A,10,TRUE,atkBoost,2,defBoost,2,,,,,,,Any,Any
Attack/Res 1,Grants Atk/Res+1.,1,A,11,TRUE,atkBoost,1,resBoost,1,,,,,,,Any,Any
