IntName,Name,Might,Range,Description,Type,Effect1,Level1,Effect2,Level2,Effect3,Level3,Effect4,Level4,Effect5,Level5,ExclusiveUser1,ExclusiveUser2,ExclusiveUser3,ExclusiveUser4,NameJP,DescJP,NameDE,DescDE,NameES,DescES,NameLS,DescLS,NameFR,DescFR,NameIT,DescIT,NameTC,DescTC,NamePT,DescPT
Iron Sword,Iron Sword,6,1,,Sword,,,,,,,,,,,,,,,鉄の剣,,Eisenschwert,,Espada hierro,,Espada hierro,,Épée fer,,Spada ferro,,鐵劍,,Espada de ferro,
Steel Sword,Steel Sword,8,1,,Sword,,,,,,,,,,,,,,,鋼の剣,,Stahlschwert,,Espada acero,,Espada acero,,Épée acier,,Spada acciaio,,鋼劍,,Espada de aço,
Silver Sword,Silver Sword,11,1,,Sword,,,,,,,,,,,,,,,銀の剣,,Silberschwert,,Espada plata,,Espada plata,,Épée argent,,Spada argento,,銀劍,,Espada de prata,
Silver Sword+,Silver Sword+,15,1,,Sword,,,,,,,,,,,,,,,銀の剣＋,,Silberschwert+,,Espada plata +,,Espada plata +,,Épée argent +,,Spada argento+,,銀劍＋,,Espada de prata+,
Silver Sword+Atk,Silver Sword+,18,1,,Sword,HPBoost,5,,,,,,,,,,,,,銀の剣＋,,Silberschwert+,,Espada plata +,,Espada plata +,,Épée argent +,,Spada argento+,,銀劍＋,,Espada de prata+,
Silver Sword+Spd,Silver Sword+,16,1,,Sword,HPBoost,5,spdBoost,3,,,,,,,,,,,銀の剣＋,,Silberschwert+,,Espada plata +,,Espada plata +,,Épée argent +,,Spada argento+,,銀劍＋,,Espada de prata+,
Silver Sword+Def,Silver Sword+,16,1,,Sword,HPBoost,5,defBoost,4,,,,,,,,,,,銀の剣＋,,Silberschwert+,,Espada plata +,,Espada plata +,,Épée argent +,,Spada argento+,,銀劍＋,,Espada de prata+,
Silver Sword+Res,Silver Sword+,16,1,,Sword,HPBoost,5,resBoost,4,,,,,,,,,,,銀の剣＋,,Silberschwert+,,Espada plata +,,Espada plata +,,Épée argent +,,Spada argento+,,銀劍＋,,Espada de prata+,
Armorslayer,Armorslayer,8,1,Effective against armored units.,Sword,effArmor,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armorslayer+,Armorslayer+,12,1,Effective against armored units.,Sword,effArmor,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brave Sword,Brave Sword,5,1,"Inflicts Spd-5. If unit initiates combat, unit attacks twice.",Sword,spdBoost,-5,BraveAW,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brave Sword+,Brave Sword+,8,1,"Inflicts Spd-5. If unit initiates combat, unit attacks twice.",Sword,spdBoost,-5,BraveAW,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruby Sword,Ruby Sword,8,1,"If unit has weapon-triangle advantage, boosts Atk by 20%. If unit has weapon-triangle disadvantage, reduces Atk by 20%.",Sword,triangleAdeptW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruby Sword+,Ruby Sword+,12,1,"If unit has weapon-triangle advantage, boosts Atk by 20%. If unit has weapon-triangle disadvantage, reduces Atk by 20%.",Sword,triangleAdeptW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killing Edge,Killing Edge,7,1,Accelerates Special trigger (cooldown count -1),Sword,slaying,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killing Edge+,Killing Edge+,11,1,Accelerates Special trigger (cooldown count -1),Sword,slaying,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
