IntName,Name,Epithet,HP,Atk,Spd,Def,Res,Movement,Weapon Type,Game,Secondary Game,HP Grow,Atk Grow,Spd Grow,Def Grow,Res Grow,DFlowerLimit,BVID,HeroType,HasResp,RefreshType,BaseWeapon,BaseAssist,BaseSpecial,BaseA,BaseB,BaseC,BaseX
Abel,Abel,The Panther,39,33,32,25,25,1,Lance,1,-1,50,60,55,40,45,30,198,HERO,FALSE,0,Panther Lance,,Aegis,HP +5,Swordbreaker 3,,
Aelfric,Aelfric,Custodian Monk,43,40,31,20,37,0,RTome,16,-1,55,70,55,35,65,20,23,HERO,FALSE,0,Rauðrrabbit+,,Glacies,Atk/Res Push 3,,Threat. Def/Res 2,
Alcryst,Alcryst,Tender Archer,39,43,46,30,24,0,CBow,17,-1,50,70,75,60,45,15,106,REARM,FALSE,0,Arcane Darkbow,,Deadeye,Flash Sparrow,Get Behind Me!,Def/Res Smoke 3,
BR!Alcryst,Alcryst,Tender Groom,40,44,46,35,23,0,RBow,17,-1,50,75,90,55,40,10,158,HERO,FALSE,0,Harp Bow+,Draw Back,,Bonus Doubler 3,,Atk/Spd Oath 3,
F!Alear,Alear,Dragon Child,40,43,46,32,26,0,Sword,17,-1,50,70,70,65,50,15,137,HERO,FALSE,0,Libération,,Luna,Atk/Res Ideal 4,Close Call 4,Spd Smoke 4,
L!F!Alear,Alear,Awoken Divinity,40,41,47,33,37,0,GDragon,17,-1,55,70,80,65,75,10,101,LEGEND,FALSE,0,Dragon's Fist,,Dragon Blast,Atk/Spd Finish 4,Null C-Disrupt 4,Atk/Spd Pledge,
SU!F!Alear,Alear,Seaside Dragon,39,42,47,32,38,0,CDragon,17,-1,55,70,80,65,75,10,-1,HERO,FALSE,0,Maritime Arts,,Bond Blast,Spd/Res Finish 4,Null C-Disrupt 4,Even Res Wave D,
M!Alear,Alear,Dragon Youth,40,44,45,33,25,0,Sword,17,-1,50,70,70,65,50,15,77,HERO,FALSE,0,Libération,,Draconic Aura,Atk/Spd Ideal 4,Repel 4,Green Feud 3,
L!M!Alear,Alear,Engaging Fire,40,41,46,30,41,0,CDragon,17,-1,55,70,80,60,80,10,41,LEGEND,FALSE,0,Divine One's Arts,,Dragon's Roar,Emblems' Miracle,S/R Bulwark 4,Atk/Spd Pledge,
WI!M!Alear,Alear,Gifted Dragons,40,43,46,30,45,0,BDragon,17,-1,50,75,90,50,90,5,-1,DUO,FALSE,0,Wintery Arts,,Dragon's Roar,Emblems' Miracle,S/R Spiked Wall,Even Res Wave D,
